ID,File Name,Command,Link,Alt Text,Created At,Type,Mime Type,Width,Height,Duration,Status,Errors
gid://shopify/GenericFile/28755811696774,BentonModDisp-Bold.eot,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-Bold.eot?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811729542,BentonModernD-SemiBold.eot,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-SemiBold.eot?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811762310,BentonModernD-Ultra.ttf,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Ultra.ttf?v=1764665776,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811795078,BentonModernD-SemiBold.ttf,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-SemiBold.ttf?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811827846,BentonModDisp-Bold.ttf,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-Bold.ttf?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811860614,BentonModernD-Ultra.eot,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Ultra.eot?v=1764665776,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811893382,BentonModernD-SemiBoldIt.ttf,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-SemiBoldIt.ttf?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811926150,BentonModernD-UltraIt.eot,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-UltraIt.eot?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811958918,BentonModDisp-Black.ttf,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-Black.ttf?v=1764665776,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811991686,BentonModDisp-BlackItalic.ttf,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-BlackItalic.ttf?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755812024454,BentonModernD-UltraIt.ttf,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-UltraIt.ttf?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755812057222,BentonModernD-SemiBoldIt.eot,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-SemiBoldIt.eot?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755812089990,BentonModernD-Italic.woff2,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Italic.woff2?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755812122758,BentonModDisp-Black.eot,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-Black.eot?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755812155526,BentonModernD-Light.ttf,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Light.ttf?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755812188294,BentonModernD-Light.eot,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Light.eot?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755812221062,BentonModDisp-BlackItalic_3faef32f-366c-43ab-ad5e-f2ab69b0a4c6.woff2,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-BlackItalic_3faef32f-366c-43ab-ad5e-f2ab69b0a4c6.woff2?v=1764665776,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755812253830,BentonModernD-Italic.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Italic.woff?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755812286598,BentonModernD-Regular.ttf,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Regular.ttf?v=1764665776,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755812319366,BentonModernD-Regular.eot,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Regular.eot?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755812352134,BentonModDisp-BoldItalic.ttf,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-BoldItalic.ttf?v=1764665776,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755812384902,BentonModDisp-BoldItalic.eot,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-BoldItalic.eot?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755812417670,BentonModDisp-BlackItalic.eot,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-BlackItalic.eot?v=1764665776,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755812450438,BentonModernD-LightIt.ttf,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-LightIt.ttf?v=1764665776,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755812483206,BentonModernD-Italic.eot,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Italic.eot?v=1764665776,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755812515974,BentonModernD-LightIt.eot,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-LightIt.eot?v=1764665776,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755812548742,BentonModernD-Italic.ttf,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Italic.ttf?v=1764665776,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28151158800518,BentonModDisp-Black.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-Black.woff?v=1751957208,,2025-07-08 16:46:47 +1000,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811664006,BentonModDisp-Bold_654e2b2a-fceb-4587-981c-6af6c7ccd7b8.woff2,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-Bold_654e2b2a-fceb-4587-981c-6af6c7ccd7b8.woff2?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28710716866694,BentonModDisp-Black_a2ee1700-579e-4579-8f42-672cc0a08fa9.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-Black_a2ee1700-579e-4579-8f42-672cc0a08fa9.woff?v=1763612586,,2025-11-20 15:23:05 +1100,FILE,,,,,Ready,
